trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
167,False,"{'a': 0.01, 'e': 0.8461996113371882}",30,10,-87.62589887676316,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",1
168,False,"{'a': 0.01, 'e': 0.8453538346846587}",30,16,8.216635183755999,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.01, 'e': 0.8445089033860343}",25,4,-65.71973017252621,"{0: 14, 1: 0, 2: 6, 3: 1, 4: 0}",1
170,False,"{'a': 0.01, 'e': 0.8436648165963837}",20,9,-19.75842017343776,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
171,False,"{'a': 0.01, 'e': 0.8428215734716199}",30,0,-121.82769452990806,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
172,False,"{'a': 0.01, 'e': 0.8419791731684999}",35,0,-137.68862875562772,"{0: 20, 1: 4, 2: 8, 3: 3, 4: 0}",0
173,False,"{'a': 0.01, 'e': 0.8411376148446232}",20,0,-91.15707818432405,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
174,False,"{'a': 0.01, 'e': 0.8402968976584314}",25,0,-65.26133997077666,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
175,False,"{'a': 0.01, 'e': 0.8394570207692074}",20,0,-45.629131359828065,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
176,False,"{'a': 0.01, 'e': 0.838617983337074}",30,15,-53.63603108850996,"{0: 8, 1: 0, 2: 7, 3: 0, 4: 0}",1
177,False,"{'a': 0.01, 'e': 0.8377797845229938}",20,0,-68.99310873417926,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
178,False,"{'a': 0.01, 'e': 0.8369424234887681}",25,0,-112.38618380499081,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
179,False,"{'a': 0.01, 'e': 0.8361058993970355}",25,0,-37.38839638590992,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
180,False,"{'a': 0.01, 'e': 0.835270211411272}",20,0,-78.16886153550388,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
181,False,"{'a': 0.01, 'e': 0.8344353586957896}",25,0,-113.31421648386589,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
182,False,"{'a': 0.01, 'e': 0.8336013404157353}",25,7,-92.41034475701744,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 1}",1
